ticker,market_cap,beta,P/E
PLD,129.841B,1.33,34.82
AIQUY,130.194B,0.64,32.50
BNPQY,129.086B,1.05,9.71
VRTX,131.814B,0.31,30.86
COF,126.429B,1.04,62.96
IVSBF,126.042B,0.78,6.45
KYCCF,125.871B,1.00,45.65
COP,127.074B,0.11,17.68
LOW,125.557B,0.86,18.92
BMO,122.615B,1.16,19.11
IVSXF,123.774B,0.78,6.33
HTHIY,131.127B,0.50,26.75
SPGI,127.231B,1.08,27.19
SNEJF,122.509B,0.74,19.62
PH,121.387B,1.14,35.55
LMT,124.036B,0.11,26.04
SYK,122.553B,0.79,36.96
VRT,116.982B,2.04,76.33
NEMCL,119.566B,0.46,14.53
ISNPY,122.495B,0.84,11.43
MO,121B,0.50,15.13
MFG,122.159B,0.39,16.17
SONY,122.038B,0.74,19.55
PNGAY,121.412B,0.64,6.30
SBUX,118.654B,0.98,79.47
DLEGF,123.175B,0.72,140.14
PDD,117.964B,-0.03,8.73
IITSF,117.296B,0.84,10.85
FTNT,115.623B,1.11,61.17
ENB,116.871B,0.81,25.73
WFC-PC,116.137B,0.93,61.25
IFNNY,115.357B,1.98,94.44
BMY,117.95B,0.24,16.18
ESOCF,115.209B,0.90,27.00
IFNNF,114.551B,1.98,94.78
MZHOF,114.391B,0.39,15.10
ENLAY,114.812B,0.90,26.91
PIAIF,111.181B,0.64,5.74
ZURVY,112.893B,0.33,16.01
CSUAY,110.616B,0.38,13.42
ZFSVF,112.027B,0.33,15.89
NOW,108.679B,0.93,62.73
SO,108.486B,0.34,24.61
TT,105.959B,1.21,36.65
BNS,105.308B,1.22,16.81
HWM,110.094B,1.19,63.84
HNHPF,105.714B,0.85,17.98
CM,104.351B,1.28,16.10
CDNS,104.076B,1.15,87.55
IBN,105.312B,0.25,18.59
PWR,102.652B,1.22,94.22
SNHIY,103.444B,0.79,80.36
GLAXF,103.224B,0.29,13.71
PBR,104.431B,-0.16,5.16
GSK,107.29B,0.29,14.29
AXAHF,102.26B,0.61,12.89
MDT,103.786B,0.60,21.74
AXAHY,102.321B,0.61,12.93
PNC,100.074B,0.92,14.48
BNY,100.438B,1.07,18.16
RCRUY,101.974B,0.91,34.07
EQIX,99.175B,0.97,69.40
MSBHF,97.396B,0.50,20.46
SNY,103.363B,0.28,19.11
NEM,103.392B,0.46,12.56
PBR-A,100.301B,-0.16,4.67
SBKFF,99.155B,0.37,11.12
CILJF,98.644B,0.87,4.65
CAIXY,100.316B,0.13,15.48
RCRRF,98.41B,0.91,32.88
MTSUY,100.032B,0.50,21.02
ATLPF,98.304B,1.07,36.64
GD,99.989B,0.34,23.27
DUK,99.094B,0.38,19.56
HOOD,104.729B,2.35,56.45
CHDRF,97.783B,0.85,18.94
ATLKY,98.255B,1.07,36.62
SNYNF,97.295B,0.28,18.02
SPOT,98.272B,1.55,32.53
MAR,97.723B,1.11,38.85
EBBNF,N/A,0.81,11.10
USB,95.98B,1.00,12.92
CIXPF,96.04B,0.13,14.84
PROSF,95.885B,0.78,8.60
BN,96.491B,1.84,84.71
MNST,96.236B,0.54,47.54
AAGIY,96.431B,0.64,15.86
CHDRY,94.925B,0.85,18.42
AAIGF,94.808B,0.64,15.59
ASX,94.757B,1.48,67.48
ADP,95.832B,0.85,22.34
CMI,93.134B,1.24,35.08
DDOG,92.792B,1.55,651.70
PROSY,91.623B,0.78,8.19
ZIJMY,97.056B,1.02,10.93
UPS,93.45B,1.04,17.79
BP,95.715B,-0.24,29.98
BCLYF,92.114B,0.90,11.98
BCS,93.934B,0.90,12.17
BPAQF,91.93B,-0.24,28.33
BYDDF,92.995B,0.26,35.17
SNOW,89.828B,1.36,N/A
ELV,91.19B,0.68,17.79
ESLOY,91.872B,0.53,35.32
ING,92.509B,0.90,12.98
WM,91.178B,0.46,32.91
MCK,91.905B,0.31,20.44
ZIJMF,89.877B,1.02,10.24
